Current Test,Time,X,Y,Z,X2,Y2,Z2
Test perams:,"A, B, C, Ans",30,10,30,,,
,3111,0.0,0.0,0.0,,,
,4074,888.27014,284.1914,556.8292,,,
,4113,986.5175,336.49432,493.61633,,,
,4139,1030.7186,368.23108,447.14938,,,
,4163,1038.1798,374.7633,433.2546,,,
,4183,1036.0183,383.172,408.2668,,,
,4203,1021.54004,388.94366,346.4296,,,
,4221,994.5274,386.89423,310.76514,,,
,4238,961.37604,380.4348,286.1844,,,
,4255,923.6526,369.534,261.93137,,,
,4272,884.4107,355.65814,240.43933,,,
,4288,866.0463,349.5534,231.36655,,,
,4307,830.17944,336.24933,217.20334,,,
,4324,797.2964,324.78235,204.76854,,,
,4340,772.90735,316.11584,197.80847,,,
,4357,754.2477,310.22858,196.99173,,,
,4382,743.65424,307.26135,197.49936,,,
,4402,732.37885,307.04437,203.22157,,,
,4419,724.5899,309.76056,216.7819,,,
,4438,717.9454,314.89014,238.36972,,,
,4456,712.15594,321.95404,254.62567,,,
,4474,707.4955,328.35382,263.70044,,,
,4493,697.13434,339.97852,277.7516,,,
,4509,681.92505,354.14655,291.06073,,,
,4537,639.29333,383.5451,308.40735,,,
,4571,604.15546,399.3219,314.49207,,,
,4602,569.46857,411.87317,319.9942,,,
,4620,563.0434,414.19043,321.7655,,,
,4639,562.3909,414.50763,322.27185,,,
,4669,578.7584,407.86768,333.55112,,,
,4688,607.8159,397.4254,343.71323,,,
,4707,650.8682,383.95312,354.06516,,,
,4726,701.6784,368.75952,365.5236,,,
,4744,792.0669,347.10516,386.52426,,,
,4770,859.9144,334.31525,403.62097,,,
,4787,934.75616,324.22363,422.74234,,,
,4807,1046.9092,315.93707,448.17917,,,
,4835,1122.854,318.43933,467.64807,,,
,4870,1312.9122,357.65265,503.87585,,,
,4903,1385.9332,386.72272,504.47226,,,
,4938,1457.1998,419.56305,505.64304,,,
,4970,1484.1222,433.1327,508.84314,,,
,5004,1492.9087,437.46576,509.51855,,,
,5039,1456.1188,420.78296,504.1851,,,
,5071,1381.5588,397.40045,491.62204,,,
,5105,1254.691,369.91046,476.89066,,,
,5137,1107.4159,349.23163,465.3027,,,
,5170,958.2047,346.98126,457.17908,,,
,5205,848.2758,356.8175,458.5184,,,
,5238,715.4822,381.74908,462.60968,,,
,5269,609.3256,421.9682,467.27362,,,
,5303,566.5993,445.5688,470.6907,,,
,5336,522.9717,483.65454,475.3449,,,
,5371,0.0,0.0,0.0,,,
,5503,772.71967,425.6264,517.68896,,,
,5536,893.8817,396.94043,526.42206,,,
,5572,1012.3094,379.01166,542.62646,,,
,5604,1057.8035,379.15778,548.2892,,,
,5637,1143.7194,390.7865,544.9805,,,
,5670,1189.7559,419.9079,537.8151,,,
,5704,1193.7523,467.49945,535.2283,,,
,5722,1194.1017,488.4355,533.72894,,,
,5753,1205.6919,505.4665,528.8424,,,
,5788,1203.3667,508.95825,528.5668,,,
,5804,1200.4717,511.54767,528.504,,,
,5836,1186.1697,515.3467,528.4605,,,
,5856,1177.4636,515.90424,528.2936,,,
,5889,1155.4978,502.48175,524.20105,,,
,5921,1101.4155,467.06323,514.79443,,,
,5954,1009.269,430.6585,497.89847,,,
,5987,958.42334,412.9245,483.50858,,,
,6020,837.6132,385.1444,463.9754,,,
,6053,720.9427,381.7306,444.80988,,,
,6088,639.9706,400.79633,437.7827,,,
,6121,579.1825,441.62885,443.66922,,,
,6154,538.77203,487.01678,464.92233,,,
,6187,514.2414,503.7929,470.7746,,,
,6221,500.92157,506.08356,470.24664,,,
,6237,500.92157,506.08356,470.24664,,,
,6259,492.3642,498.3869,469.90463,,,
,6292,497.32755,464.9687,459.21594,,,
,6326,551.5872,417.11548,450.70975,,,
,6354,645.4402,387.61932,462.82574,,,
