Current Test,Time,X,Y,Z,X2,Y2,Z2,PWMValue
Test perams:,"A, B, C, Ans",80,60,80,,,,
,3082,0.0,0.0,0.0,,,,3
,4860,3.1438663,15.957886,543.58405,,,,3
,4879,35.09348,39.34082,439.0359,,,,3
,4910,51.07461,57.130554,395.6733,,,,3
,4944,83.94147,85.12225,338.8799,,,,3
,4986,124.64536,104.69794,295.52164,,,,3
,5012,167.28989,139.62659,262.39816,,,,3
,5043,205.93614,171.97015,245.45482,,,,3
,5079,237.63667,211.93878,229.47278,,,,3
,5096,237.63667,211.93878,229.47278,,,,3
,5126,251.12958,240.94183,221.14954,,,,3
,5160,260.68616,272.05957,210.38914,,,,3
,5194,265.50436,284.01587,207.26445,,,,3
,5210,285.29764,303.22394,204.22633,,,,3
,5244,329.02765,318.84845,205.52406,,,,3
,5260,362.50693,328.23096,209.81021,,,,3
,5293,431.3026,340.48285,221.12354,,,,3
,5329,458.22192,342.00775,225.89276,,,,3
,5346,481.86578,342.1053,229.65543,,,,3
,5364,499.27835,341.14868,232.0146,,,,3
,5380,511.95917,338.2096,232.28506,,,,3
,5396,520.49963,335.57635,232.67407,,,,3
,5414,528.34753,330.35046,232.84105,,,,3
,5430,534.1393,325.34222,232.48709,,,,3
,5447,538.4328,318.16803,232.45256,,,,3
,5463,542.9287,312.07874,232.98662,,,,3
,5479,548.71594,302.47827,234.48106,,,,3
,5496,548.71594,302.47827,234.48106,,,,3
,5513,554.7985,286.33984,240.57938,,,,3
,5530,564.7626,271.86182,244.51927,,,,3
,5546,574.67053,262.3778,247.31512,,,,3
,5563,583.80115,256.51715,250.41786,,,,3
,5579,590.8321,252.09808,254.84111,,,,3
,5596,596.9688,249.4245,259.49127,,,,3
,5613,602.6678,248.78217,263.5669,,,,3
,5631,606.9874,250.4591,267.44928,,,,3
,5647,609.6243,255.75989,271.9642,,,,3
,5663,609.6888,266.9229,276.4564,,,,3
,5679,604.90625,280.1654,278.6198,,,,3
,5697,595.1669,296.8308,279.1419,,,,3
,5714,582.5483,316.83893,278.31372,,,,3
,5729,582.5483,316.83893,278.31372,,,,3
,5747,568.5286,340.5475,276.1031,,,,3
,5764,554.52203,360.34106,275.62012,,,,3
,5780,541.98004,378.19495,274.76288,,,,3
,5797,529.5646,405.70618,276.38947,,,,3
,5813,522.5256,417.24927,273.78424,,,,3
,5830,518.79456,423.19952,272.20636,,,,3
,5847,516.7464,428.53278,272.10443,,,,3
,5863,516.82654,432.18298,272.10513,,,,3
,5880,518.52655,434.89215,272.75464,,,,3
,5896,521.661,436.07788,273.87195,,,,3
,5914,528.5794,433.59198,275.9521,,,,3
,5930,543.5058,425.02545,278.51953,,,,3
,5947,562.8003,420.20282,285.16058,,,,3
,5965,591.9024,402.72498,294.50272,,,,3
,5980,591.9024,402.72498,294.50272,,,,3
,5996,625.3141,385.14825,303.74475,,,,3
,6015,662.86847,362.78363,316.55457,,,,3
,6030,701.31323,348.7168,329.96985,,,,3
,6048,739.1597,330.89136,343.6617,,,,3
,6067,782.22534,306.8853,358.06274,,,,3
,6080,821.616,289.18958,369.28452,,,,3
,6097,853.5011,280.06824,377.8166,,,,3
,6113,880.1243,274.18958,383.45782,,,,3
,6130,908.7727,265.9577,391.50693,,,,3
,6147,932.3584,258.39734,399.64438,,,,3
,6163,949.1927,250.32672,405.77856,,,,3
