,Date:,19/06/2017,,,
,Time:,14:25:49,,,
,Age:,11,,,
,Sex:,1,,,
,Handed:,0,,,
,,,,,
,Single Finger JND Test Results,,,,
,,,,,
,Refference value:,100,,,
,Test 1,Test 2,Test 3,Average,Varience
,99,99,99.0,0.0,
,,,,,
,Refference value:,80,,,
,Test 1,Test 2,Test 3,Average,Varience
,79,79,79.0,0.0,
,,,,,
,Refference value:,60,,,
,Test 1,Test 2,Test 3,Average,Varience
,59,59,59.0,0.0,
,,,,,
,Refference value:,40,,,
,Test 1,Test 2,Test 3,Average,Varience
,39,39,39.0,0.0,
,,,,,
,Refference value:,20,,,
,Test 1,Test 2,Test 3,Average,Varience
,19,19,19.0,0.0,
,,,,,
