,Date:,19/06/2017,,,,
,Time:,16:06:25,,,,
,Age:,1,,,,
,Sex:,2,,,,
,Handed:,3,,,,
,,,,,,
,Grasp distance results,,,,,
,,,,,,
,Test 1,Test 2,Test 3,Test 4,Test 5,
,70.54336,70.4451,70.021866,70.01394,69.71698,
,,,,,,
,Average:,70.14825,,,,
,Varience:,0.11605893,,,,
,,,,,,
,Single Finger JND Test Results,,,,,
,,,,,,
,Refference value:,Test 1,Test 2,Test 3,Average Delta,"Delta Varience "
,100,70,70,70,30.0,0.0
,80,55,55,55,25.0,0.0
,60,47,47,47,13.0,0.0
,40,35,35,35,5.0,0.0
,20,14,17,12,5.6666665,6.333333
,,,,,,
,Single Finger JND Tester Results,,,,,
,,,,,,
,A,B,?,Answer,Score,
,47,60,47,47,,
,35,40,40,35,,
,55,80,80,55,,
,70,100,100,100,,
,15,20,15,20,,
,70,100,70,100,,
,15,20,20,20,,
,55,80,55,80,,
,35,40,35,40,,
,47,60,60,60,,
,Result:,4,,,,
,Out of 10,,,,,
,,,,,,
,Multi-Finger JND Test Results,,,,,
,,,,,,
,Refference value:,Test 1,Test 2,Test 3,Average Delta,"Delta Varience "
,0,33,0,0,11.0,363.0
,50,50,50,50,50.0,0.0
,100,100,100,100,100.0,0.0
,150,150,150,150,150.0,0.0
,200,200,200,200,200.0,0.0
,,,,,,
,Multi Finger JND Tester Results,,,,,
,,,,,,
,A,B,?,Answer,Score,
,200,200,200,200,,
,50,50,50,50,,
,200,200,200,200,,
,150,150,150,150,,
,100,100,100,100,,
,150,150,150,150,,
,11,0,11,11,,
,100,100,100,100,,
,11,0,0,11,,
,50,50,50,50,,
,Result:,9,,,,
,Out of 10,,,,,
