,Date:,19/06/2017,,,
,Time:,14:22:36,,,
,Age:,1,,,
,Sex:,1,,,
,Handed:,1,,,
,,,,,
,Single Finger JND Test Results,,,,
,,,,,
,"Refference value: ",100,,,
,Test 1,Test 2,Test 3,Average,Varience
,"Refference value: ",80,97.0,1.0,
,,,,,
,Test 1,Test 2,Test 3,Average,Varience
,"Refference value: ",60,80.0,0.0,
,,,,,
,Test 1,Test 2,Test 3,Average,Varience
,"Refference value: ",40,60.0,0.0,
,,,,,
,Test 1,Test 2,Test 3,Average,Varience
,"Refference value: ",20,40.0,0.0,
,,,,,
,Test 1,Test 2,Test 3,Average,Varience
,20,20,20.0,0.0,
,,,,,
