,Date:,19/06/2017,,,,
,Time:,15:31:36,,,,
,Age:,22,,,,
,Sex:,m,,,,
,Handed:,l,,,,
,,,,,,
,Single Finger JND Test Results,,,,,
,,,,,,
,Refference value:,Test 1,Test 2,Test 3,Average Delta,"Delta Varience "
,100,99,99,99,1.0,0.0
,80,79,79,79,1.0,0.0
,60,59,59,59,1.0,0.0
,40,39,39,39,1.0,0.0
,20,19,19,19,1.0,0.0
,,,,,,
,Single Finger JND Tester Results,,,,,
,,,,,,
,A,B,?,Answer,Score,
,39,40,40,40,,
,19,20,19,19,,
,79,80,80,79,,
,19,20,20,20,,
,99,100,100,100,,
,79,80,79,79,,
,99,100,99,99,,
,39,40,39,39,,
,59,60,59,59,,
,59,60,60,60,,
,Result:,9,,,,
,Out of 10,,,,,
